storkreds,kreds
København,Bispebjerg
København,Brønshøj
København,Falkoner
København,Indre_By
København,Nørrebro
København,Slots
København,Sundbyvester
København,Sundbyøster
København,Tårnby
København,Valby
København,Vesterbro
København,Østerbro
Københavns_Omegn,Ballerup
Københavns_Omegn,Brøndby
Københavns_Omegn,Gentofte
Københavns_Omegn,Gladsaxe
Københavns_Omegn,Hvidovre
Københavns_Omegn,Lyngby
Københavns_Omegn,Rødovre
Københavns_Omegn,Taastrup
Nordsjælland,Egedal
Nordsjælland,Fredensborg
Nordsjælland,Frederikssund
Nordsjælland,Helsingør
Nordsjælland,Hillerød
Nordsjælland,Rudersdal
Bornholm,Rønne
Bornholm,Aakirkeby
Sjælland,Faxe
Sjælland,Greve
Sjælland,Guldborgsund
Sjælland,Holbæk
Sjælland,Kalundborg
Sjælland,Køge
Sjælland,Lolland
Sjælland,Næstved
Sjælland,Ringsted
Sjælland,Roskilde
Sjælland,Slagelse
Sjælland,Vordingborg
Fyn,Assens
Fyn,Faaborg
Fyn,Middelfart
Fyn,Nyborg
Fyn,Odense_Syd
Fyn,Odense_Vest
Fyn,Odense_Øst
Fyn,Svendborg
Sydjylland,Esbjerg_By
Sydjylland,Esbjerg_Omegn
Sydjylland,Fredericia
Sydjylland,Haderslev
Sydjylland,Kolding_Nord
Sydjylland,Kolding_Syd
Sydjylland,Sønderborg
Sydjylland,Tønder
Sydjylland,Varde
Sydjylland,Vejen
Sydjylland,Vejle_Nord
Sydjylland,Vejle_Syd
Sydjylland,Aabenraa
Østjylland,Djurs
Østjylland,Favrskov
Østjylland,Hedensted
Østjylland,Horsens
Østjylland,Randers_Nord
Østjylland,Randers_Syd
Østjylland,Skanderborg
Østjylland,Aarhus_Nord
Østjylland,Aarhus_Syd
Østjylland,Aarhus_Vest
Østjylland,Aarhus_Øst
Vestjylland,Herning_Nord
Vestjylland,Herning_Syd
Vestjylland,Holstebro
Vestjylland,Ikast
Vestjylland,Ringkøbing
Vestjylland,Silkeborg_Nord
Vestjylland,Silkeborg_Syd
Vestjylland,Skive
Vestjylland,Struer
Vestjylland,Viborg_Vest
Vestjylland,Viborg_Øst
Nordjylland,Brønderslev
Nordjylland,Frederikshavn
Nordjylland,Himmerland
Nordjylland,Hjørring
Nordjylland,Mariagerfjord
Nordjylland,Thisted
Nordjylland,Aalborg_Nord
Nordjylland,Aalborg_Vest
Nordjylland,Aalborg_Øst